#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AE2F23
#Date Time: 2020-09-17 13:54:42.402
#Start: 10 Hz
#Stop: 2e+06 Hz
#Steps: 101
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 2
#Range: 5.53088 V
#Offset: 8.36226e-05 V
#Relative: yes
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 5 V
#Negative Supply: Rdy
#Voltage: -5 V

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10,9.809755070799469,132.3326532388418
11.29822709825422,11.61575141806222,133.5063670928917
12.76499355637263,13.40732371573578,134.0771909068558
14.42217961076498,15.26356912450933,134.2605569061566
16.29450604942344,17.15980379169774,134.0239401582364
18.40990298002637,19.02707849440556,133.0395361894277
20.79992647251651,20.91266929699666,131.6771437916425
23.50022929134818,22.76225078449105,129.811540304341
26.55109273946971,24.61789144153064,127.2264987477536
29.99802754773383,26.37575566720044,124.127273078385
33.8924527733983,28.14347080135146,120.5336726791729
38.29246283507101,29.83726558188801,116.24439767671
43.26369412620929,31.45712677497385,111.502406855195
48.88030413473199,32.91913270081108,106.4094714161899
55.2260776745938,34.38869666578776,100.6431037786233
62.39567673133882,35.67341003056246,94.60737232412947
70.49605256599229,36.85725650553281,88.45400256213651
79.64804114210497,37.89460809820303,82.01843204624274
89.98816567545957,38.83979606447907,75.64204933494716
101.670673195667,39.64576871460913,69.22956947842937
114.8698354997034,40.30292911884193,63.06318809563149
129.7825488214757,40.9050466037941,57.06911729353119
146.6312709975298,41.35665447105158,51.58578973560924
165.6673399435749,41.75737220913997,46.2681381244596
187.1747229446196,42.06968105880765,41.55384550564827
211.4742526881128,42.3409289103347,37.13768560020362
238.92841323039,42.55156085191629,33.12952612612069
269.9467472902475,42.72400232034731,29.29544876755671
304.9919655320262,42.83128388907656,26.15349558325801
344.5868489723759,42.96604099893141,23.04028098681723
389.3220474761737,43.04917118144625,20.43632796218029
439.8648906743123,43.10140701014595,17.93354521898763
496.9693427387152,43.12461444469015,15.6833154765213
561.4872495132148,43.16626317910067,13.75619854594267
634.3810457774439,43.19646664789398,12.07486811389255
716.7381122021562,43.2040775038061,10.42003063902206
809.7869961633986,43.22546809492512,9.019884313919803
914.9157383867207,43.23690144589726,7.625879671610996
1033.692578806012,43.19884153228201,6.535324251903504
1167.889350513039,43.19952165339113,5.751775068702258
1319.507910772895,43.1378421494618,5.187422291220599
1490.810003385512,43.16114742123733,4.281889953860251
1684.350997859868,43.13895210109098,3.443869679942622
1903.018008699192,43.09983918284273,3.443024161308458
2150.072963435102,43.12427251431916,2.447220409040491
2429.201261870624,43.18485711547032,2.46726409737937
2744.566752398006,43.06579422139567,2.15689848094388
3100.873845491076,43.09997370612028,1.849427055286171
3503.43769093951,43.13722175168174,2.030686523464766
3958.263465681797,43.1912483522124,1.341347875606814
4472.13595499958,43.16213819970868,0.8745369392498468
5052.720763385333,43.18198234556282,0.6568717527031822
5708.678664879193,43.14961973000307,0.3404824193497792
6449.79479867639,43.19434455754062,0.5942236606101972
7287.12463725848,43.33070878317721,-0.273249955338855
8233.158904502983,43.28385567894622,-1.087233319125347
9302.009903908864,43.34293814860338,-1.444627957005075
10509.62203645723,43.38570328644757,-2.159267665443885
11874.00964847109,43.35717291813482,-3.266076566368298
13415.52575752882,43.41242444967491,-3.814242828370737
15157.16566510398,43.43198088633015,-4.634891160787376
17124.90998502064,43.46669881054082,-5.613152214229132
19348.11220479247,43.48664502089267,-6.311783813928088
21859.93656122496,43.41385169052873,-7.324233809212558
24697.85276221502,43.44708209761315,-10.01716054362303
27904.1949346751,43.32198677988124,-10.73667050643402
31526.79313659146,43.39337579604074,-11.90241819268923
35619.68685368932,43.41590934531736,-13.35401414054743
40243.93112416826,43.09296592436422,-15.1963670971009
45468.50731673541,43.16237346246975,-17.63353563751388
51371.3521483111,43.06982765000676,-19.73215902052371
58040.5202916009,42.78720908657168,-21.88432264318651
65575.497915534,42.73193184141842,-24.92297401973718
74088.68675307999,42.59903628995343,-27.48544001396154
83707.0808347718,42.2570564035791,-30.10158826307158
94574.16090031758,41.77045639919234,-34.92166988162331
106852.0347478624,41.58953171258963,-37.13522483043666
120723.8554491902,41.41954261951216,-40.73932259629349
136396.5535041767,40.88488323372484,-44.19047277833418
154103.9236909373,40.338415452212,-47.916556102913
174110.1126592249,39.74539004622767,-50.91787061741785
196713.5592926552,39.0904060748571,-54.77735326189197
222251.4466194315,38.23106561238638,-58.82041206397568
251104.7316821865,37.48307323982385,-63.07841039176735
283703.8283991537,36.65261015379484,-65.19775233954844
320535.0281897787,35.82664008624469,-69.03201543188763
362147.7541433441,34.90701587711727,-71.55361887867363
409162.7569434242,34.1200184934798,-74.79275842519431
462281.3748094604,33.06126354594124,-76.75735451093583
522295.9955890466,32.13739402591338,-78.97735039188541
590101.8770673838,31.0800794863863,-81.80840383073016
666710.5018213405,30.13969987735394,-83.49558560364454
753264.6658368546,29.01417880777659,-85.61459971706111
851055.5259715369,28.04638691399555,-87.28889266736979
961541.8605650612,26.97594931678897,-89.83189717167272
1086371.830514197,25.88025546165056,-91.71668682870489
1227407.565429555,24.87704812254493,-93.92079176789035
1386752.941633845,23.76154958970567,-95.86090978407189
1566784.966375128,22.59512948648816,-97.81248576007334
1770189.236423681,21.53695688306806,-100.2279789912895
2000000,20.45109801892424,-102.6771391801348
